Scientific name,Synonym,Common Name,Family,Native/Introduced,Status/IUCN,COI,Key Features,Description,Body Size,Ecology ,Distribution,Habitat Traits,       Other information,Citation,Picture Reference
Apogon doryssa,Not Available,Longspine Cardinalfish,Apogonidae,Native,Least Concern,AUSTR140-13 - Apogon doryssa [COI-5P:655],Dorsal spines (total): 7; Dorsal soft rays (total): 9; Anal spines: 2; Anal soft rays: 8,"Second spine in first dorsal fin thick and tall, almost reaching end of second dorsal fin base, when folded down",Up to 8 cm ,Mouthbrooders. Distinct pairing during courtship and spawning. Solitary. ,"Indo-West Pacific: Rodrigues (Mascarenes); Maldives and Christmas Island (Indian Ocean) east to Indoneesia, Papua New Guinea to Wake Atoll, Marshall Islands and Tuamotu Archipelago, north to Ryukyu Islands, south to Queensland (Australia), New Caledonia, Tonga and Rapa.","Occurs in sheltered reef flats, lagoons, and seaward reefs, Usually only found at night to depths of 25 m. Marine; reef-associated; depth range 4 - 21 m. Tropical; 30°N - 28°S",Not Available,"Myers, R.F., 1991. Micronesian reef fishes. Second Ed. Coral Graphics, Barrigada, Guam. 298 p. (Ref. 1602)",https://fishbase.mnhn.fr/photos/PicturesSummary.php?resultPage=2&ID=5753&what=species
Cheilodipterus alleni,Not Available,Allen's Cardinalfish,Apogonidae,Native,Not Evaluated ,PHILA1965-16 - Cheilodipterus alleni [COI-5P:655],Dorsal spines (total): 7; Dorsal soft rays (total): 9-10; Anal spines: 2; Anal soft rays: 8 - 9.,"Pale with 8 golden brown stripes.  Distal half of first dorsal fin black and proximal half pale. Second dorsal, anal, pectoral, and pelvic fins with reddish tinge. Leading edge of second dorsal and anal fins dusky to dark brown, usually darker distally. Upper- and lowermost caudal-fin rays dark brown. No dark caudal spot. ",Up to 10.4 cm,"Solitary. Mouthbrooders,  Distinct pairing during courtship and spawning.","Western Pacific: Brunei, Sabah, Indonesia, Papua New Guinea north to the Philippines, east to Solomon Islands.","Solitary in caves and under ledges, inhabits seaward reef slopes in 10-40 m. Marine; reef-associated; depth range 10 - 40 m. Tropical",Smallest mature female measured at 6.3 cm,https://fishbase.mnhn.fr/summary/Cheilodipterus-alleni.html,https://fishbase.mnhn.fr/photos/PicturesSummary.php?resultPage=1&ID=12876&what=species
Cheilodipterus intermedius,Not Available,Intermediate Cardinalfish,Apogonidae,Native,Not Evaluated ,"	LIFS745-08 - Cheilodipterus intermedius [COI-5P:648]",Dorsal spines (total): 6 - 7; Dorsal soft rays (total): 9; Anal spines: 2; Anal soft rays: 8.,"A cardinalfish with alternating pale and dark stripes along the head and body, a large pale area on the caudal peduncle and dark outer rays on the caudal fin. Juveniles and sub-adults have a large yellow patch on caudal peduncle surrounding a small central black spot. ",Up to 20.0 cm,Solitary in caves to 20 m depth,"Western Pacific: Indonesia, Papua New Guinea, Great Barrier Reef (Australia), north to Vietnam and Ryukyu Islands, east to Solomon Islands.","Reefs over sand or mud bottoms. Marine; reef-associated; depth range 1 - 20 m, usually 2 - 15 m. Tropical. ",Not Available,https://fishbase.mnhn.fr/summary/Cheilodipterus-intermedius.html,https://fishbase.mnhn.fr/photos/PicturesSummary.php?resultPage=1&ID=12877&what=species
Cheilodipterus isostigmus,Not Available,Dog-toothed Cardinalfish,Apogonidae,Native,Not Evaluated ,ANGBF36997-19 - Cheilodipterus isostigmus [COI-5P:632], Dorsal spines (total): 7; Dorsal soft rays (total): 9; Anal spines: 2; Anal soft rays: 8. ,"Distinguished externally from C. quinquelineatus by the position of the basicaudal spot which is in line with the mid-lateral stripe, and internally by having canine teeth at the end of the lower jaw",Up to 11.0 cm,"Usually in small groups among staghorn corals. Feeds on small fishes. Mouthbrooders,  Distinct pairing during courtship and spawning","Indo-West Pacific: Malaysia, Indonesia, Papua New Guinea to Philippines, east to Marshall Islands.",Occurs in lagoon reefs to depths of at least 12 m. Marine; reef-associated; depth range 4 - 50 m. Tropical; 19°N - 12°S,Not Available,https://fishbase.mnhn.fr/summary/Cheilodipterus-isostigma.html,https://fishbase.mnhn.fr/photos/PicturesSummary.php?resultPage=1&ID=5779&what=species
Fibramia amboinensis,Not Available,Amboina Cardinalfish,Apogonidae,Native,Data Deficient,GBGCA6236-15 - Fibramia amboinensis [COI-5P:1548,"Distinguished by having the following characteristics: dorsal-fin rays VI-I, 9; anal-fin rays II, 8; pectoral-fin rays 14; pelvic-fin rays I, 5; pored lateral-line scales 24; predorsal scales 7; circumpeduncular scales 12; total gill rakers 21-22, ","Developed gill rakers 19-20; light brown body; two black stripes, one from snout to opercular margin through eye, and the second one on anterior portion of lateral line; blackish anterior part of first dorsal fin; base of caudal-fin with distinct black spot",Up to 7.0 cm,Mouthbrooders. Distinct pairing during courtship and spawning. ,Western Pacific: Japan to Philippines and Papua New Guinea.,Found in brackish water at river mouths and among the mangroves. Also enters freshwater during low tide. Marine; freshwater; brackish; reef-associated; depth range 2 - 5 m. Tropical; 32°N - 23°S,Mouth brooding by males.,https://fishbase.mnhn.fr/summary/Fibramia-amboinensis.html,https://fishbase.mnhn.fr/photos/PicturesSummary.php?resultPage=1&ID=7848&what=species
Foa hyalina,Not Available,Hyaline Cardinalfish,Apogonidae,Native,Not Evaluated ,"
PHILV410-15 - Foa hyalina [COI-5P:655]",Dorsal spines (total): 8; Dorsal soft rays (total): 9; Anal spines: 2; Anal soft rays: 8.,"Characterized by brownish -red stripe from snout to eye, another from eye to throat, another across nape and 3 downward from base of spinous dorsal. Spinous dorsal and pelvic fins mottled finely with brownish; other fins without.",Up to 4.7 cm,Solitary among Sinularia soft corals.,"Western Pacific: eastern Indonesia east to Palau, north to Philippines, south to Papua New Guinea and Timor Sea.",Marine; demersal; depth range 2 - 15 m ,"The species is very well-camouflaged amongst soft corals of the genus Sinularia.
",https://fishbase.mnhn.fr/summary/Foa-hyalina.html,https://fishbase.mnhn.fr/photos/ThumbnailsSummary.php?ID=59765
Glossamia aprion,Not Available,Mouth Almighty,Apogonidae,Native,Least Concern (LC),GBGCA11479-15 - Glossamia aprion [COI-5P:652], Dorsal spines (total): 7; Dorsal soft rays (total): 9-11; Anal spines: 2; Anal soft rays: 8 - 10,"A creamy-brown cardinalfish with 6-8 irregular broken darker olive-brown bar-like areas extending onto belly, or numerous small and large irregular darker brown spots and blotches, and a dark bar from eye to shoulder. The first dorsal fin is dusky, with the outer half blackish, pelvic fins and basal parts of second dorsal and anal fins with dark spots and marbling.",Up to 18.0 cm,"Nocturnal, solitary, carnivore. Most of its time is spent sitting motionless among plant cover waiting to ambush small fishes and crustaceans. Aquatic and terrestrial insects are also consumed. Males mouthbrooders.","Central-southern New Guinea (Papua Province, Indonesia and Papua New Guinea) and northern Australia.","Adults inhabit still or gently flowing water of streams, pools, lakes, swamps and reservoirs, usually in well vegetated, shallow margins. Commonly found in rivers, creeks and lagoons. Freshwater; benthopelagic; pH range: 7.0 - 7.5; dH range: 12 - 20. Tropical; 23°C - 25°C; 3°S - 19°S",Not Available,"Gomon, M.F. & Bray, D.J. 2019, Glossamia aprion in Fishes of Australia, accessed 19 Jun 2024, https://fishesofaustralia.net.au/home/species/4224  https://fishbase.mnhn.fr/summary/Glossamia-aprion.html",https://fishbase.mnhn.fr/photos/PicturesSummary.php?resultPage=1&ID=14863&what=species
Glossamia narindica,Not Available,Slender Mouth Almighty,Apogonidae,Native,Vulnerable (VU),LDBCF191-16 - Glossamia [COI-5P:652],Dorsal spines (total): 7; Dorsal soft rays (total): 9-10; Anal spines: 2; Anal soft rays: 9 - 10,Glossamia narindica (Slender Mouth Almighty) is a species of ray-finned fishes in the family cardinalfishes. They are listed as vulnerable by IUCN. They are associated with freshwater habitat. Individuals can grow to 12.5 cm. They have sexual reproduction. ,Up to 12.5 cm,Mouthbrooders. Distinct pairing during courtship and spawning,Papua New Guinea.,Known only from Bensbach and middle Fly rivers in Papua New Guinea. Freshwater; demersal. Tropical; 6°S - 9°S,Not Available,https://fishbase.mnhn.fr/summary/Glossamia-narindica.html,https://www.idigbio.org/portal/mediarecords/c681a677-df1a-401e-9cbc-6efaa6ae6a4c
Gymnapogon urospilotus,Not Available,B-spot Caridinalfish,Apogonidae,Native ,Least Concern (LC),FUT259-18 - Gymnapogon urospilotus [COI-5P:652],Dorsal spines (total): 7; Dorsal soft rays (total): 9; Anal spines: 2; Anal soft rays: 9 - 10.,A secretive semi-transparent cardinalfish with a distinctive dark B-shaped spot on the caudal-fin base. ,Up to 2.7 cm,Schools with young of other apogonids. Nocturnal. Distinct pairing during courtship and spawning ,"Western Pacific: Taiwan and New Guinea east to Marshall Islands, Society Islands, and Marquesas Islands, north to Ryukyu Islands, south to Western Australia, Chesterfield Islands and Loyalty Islands (New Caledonia), and Tonga.",Coral reefs. Marine; reef-associated; depth range 0 - 18 m. Tropical; 30°N - 18°S,Not Available,https://fishbase.mnhn.fr/summary/Gymnapogon-urospilotus.html,https://www.idigbio.org/portal/mediarecords/b824a7c8-4a8e-473c-857e-41121901c07c
Jaydia novaeguineae,Not Available,Not Available,Apogonidae,Native,Not Evaluated ,ANGBF37029-19 - Jaydia novaeguineae [COI-5P:621],Not Available,Jaydia novaeguineae is a species of ray-finned fishes in the family cardinalfishes. Individuals can grow to 8.9 cm. They have sexual reproduction.,Up to 8.9 cm,Mouthbrooders. Distinct pairing during courtship and spawning,"Philippines, Papua New Guinea, west to Madagascar, also Kenya and southern Red Sea.",Usually lives on sand bottom in shallow waters from depths of 22-62 m. Marine; reef-associated; depth range 22 - 62 m, Trawled specimens were collected from 40-55 m on an open sandy area ,https://fishbase.mnhn.fr/summary/Jaydia-novaeguineae.html,https://fishbase.mnhn.fr/photos/PicturesSummary.php?resultPage=2&ID=27483&what=species
Jaydia striata,Not Available,Not Available,Apogonidae,Native ,Not Evaluated ,ANGBF37034-19 - Jaydia striata [COI-5P:525],Not Available,Jaydia striata (Cardinalfish) is a species of ray-finned fishes in the family cardinalfishes. Individuals can grow to 7.0 cm. They have sexual reproduction.,Up to 7.0 cm,Mouthbrooders. Distinct pairing during courtship and spawning,Indo-West Pacific: Philippines to Papua New Guinea.,"Marine; reef-associated; depth range 25 - 82 m, found in lagooon reefs",Not Available,https://fishbase.mnhn.fr/summary/Jaydia-striata.html,https://fishbase.mnhn.fr/photos/UploadedBy.php?autoctr=41608&win=uploaded
Nectamia similis,Not Available,Similar Cardinalfish,Apogonidae,Native,Not Evaluated ,LIFS968-08 - Nectamia similis [COI-5P:652], Dorsal spines (total): 8; Dorsal soft rays (total): 9; Anal spines: 2; Anal soft rays: 8,"A brownish to bronze cardinalfish with 6-7 narrow pale greyish to white bars on the side, a broad white band followed by a broad dark band around the caudal peduncle, a diagonal wedge-shaped bar below the eye, and narrow white margins on the dorsal, caudal and anal fins.",Up to 6.3 cm,Mouthbrooders. Distinct pairing during courtship and spawning,"Western Pacific: Malaysia, Indonesia, Papua New Guinea to Philippines and to Palau."," Marine; reef-associated. Tropical; 15°N - 13°S, 105°E - 155°E",The Similar Cardinalfish is known from Lizard Island in the Great Barrier Reef Marine Park.,"Bray, D.J. 2017, Nectamia similis in Fishes of Australia, accessed 20 Jun 2024, https://fishesofaustralia.net.au/home/species/5321 https://fishbase.mnhn.fr/summary/Nectamia-similis.html",https://fishbase.mnhn.fr/photos/PicturesSummary.php?resultPage=1&ID=63751&what=species
Ostorhinchus compressus,Not Available,Ochre-striped Cardinalfish,Apogonidae,Native,Least Concern (LC),LIFS470-08 - Ostorhinchus compressus [COI-5P:652],Dorsal spines (total): 8; Dorsal soft rays (total): 9; Anal spines: 2; Anal soft rays: 9.,"Color is white or pinkish with about six red-brown stripes on side; 3-4 dark spots at the base of the caudal fin. Eyes iridescent blue. Small juveniles have yellow caudal peduncle with black spot in centre, mimicking the large-toothed Cheilodipterus species. That enables them to swim about more freely. ",Up to 12.0  cm,Mouthbrooders. Distinct pairing during courtship and spawning. Found in small aggregates among or near mounds of branching corals such as Porites cylindrica or P. nigrescens. Nocturnal species.,"Indo-West Pacific: Andaman Sea east to Philippines and New Guinea, north to Ryukyu Islands, south to northern Australia and New Caledonia.",Marine; reef-associated; depth range 2 - 20 m,Has been reared in captivity.,https://fishbase.mnhn.fr/summary/Ostorhinchus-compressus.html,https://fishbase.mnhn.fr/photos/PicturesSummary.php?resultPage=1&ID=5769&what=species
Ostorhinchus dispar,Not Available,Redspot Cardinalfish,Apogonidae,Native ,Least Concern (LC),"
GBGCA6244-15 - Ostorhinchus dispar [COI-5P:1548]", Dorsal spines (total): 8; Dorsal soft rays (total): 8-9; Anal spines: 2; Anal soft rays: 8 - 9.,"A semi-transparent pinkish cardinalfish with a narrow reddish midlateral stripe from the tip of the snout to a large red spot on the caudal peduncle, a prominent white spot immediately above the caudal peduncle spot, two red spots behind and above the eye, and broad red tips on the caudal-fin lobes.",Up to 5.0 cm,Mouthbrooders. Distinct pairing during courtship and spawning. Forms aggregations,"Indo-West Pacific: Cocos-Keeling Islands to Fiji and Palau, north to Yaeyama Islands, Papua New Guinea and Solomon Islands.","Found in caves of drop-offs; also in clear coastal to outer reefs, commonly in large black corals growing away from walls. Marine; reef-associated; depth range 18 - 60 m. Tropical; 8°N - 13°S.",Not Available,"Bray, D.J. 2022, Ostorhinchus dispar in Fishes of Australia, accessed 20 Jun 2024, https://fishesofaustralia.net.au/home/species/4965 https://fishbase.mnhn.fr/summary/Ostorhinchus-dispar.html",https://fishbase.mnhn.fr/photos/PicturesSummary.php?resultPage=4&ID=5759&what=species
Ostorhinchus fasciatus,Not Available,Broadbanded Cardinalfish,Apogonidae,Native,Least Concern (LC),FOAG946-08 - Ostorhinchus fasciatus [COI-5P:665],Dorsal spines (total): 8; Dorsal soft rays (total): 9; Anal spines: 2; Anal soft rays: 8. ,"Characterized by having generally white to dusky pinkish body color; 3-4 dark stripes on upper half of body; presence of broad, uniform midlateral stripe continued to caudal fin; narrower stripe above eye to upper caudal peduncle; base of dorsal fin to upper caudal peduncle with thin stripe; incomplete diffuse stripe above midlateral strip; greatest depth of body 2.6-2.7 in SL ",Up to 12.6 cm,Mouthbrooders. Distinct pairing during courtship and spawning. Nocturnal. Juveniles often occur with sea anemones,"Red Sea, Indo-West Pacific: East Africa, Seychelles, Madagascar and RÃ©union (Mascarenes) south to Mozambique, east to Philippines and New Guinea, north to southern Japan, south to northern Australia; Mediterranean Sea (Red Sea immigrant).","Inhabits coastal reefs, in sandy or weedy areas. Marine; demersal; depth range 8 - 45 m. Tropical","In many publications, this species was called Apogon fasciatus."," Bray, D.J. 2018, Ostorhinchus fasciatus in Fishes of Australia, accessed 20 Jun 2024, https://fishesofaustralia.net.au/home/species/3252
https://fishbase.mnhn.fr/summary/Ostorhinchus-fasciatus.html",https://fishbase.mnhn.fr/photos/PicturesSummary.php?resultPage=4&ID=6605&what=species
Ostorhinchus jenkinsi,Not Available,Spotnape  Cardinalfish,Apogonidae,Native,Not Evaluated ,"
FOAQ537-21 - Ostorhinchus jenkinsi [COI-5P:672]",Dorsal spines (total): 8; Dorsal soft rays (total): 9; Anal spines: 2; Anal soft rays: 8.,"A coppery cardinalfish with a dark bar on the snout, a small dark spot on the nape, a large dark patch on the spinous dorsal fin and a large dark vertically oval spot on the caudal peduncle. The bar and the spots are narrowly outlined in white. ",Up to 8.7 cm,Mouthbrooders. Distinct pairing during courtship and spawning.  Nocturnal. Forms aggregations.,"Indonesia, Philippines, Papua New Guinea and Great Barrier Reef (Australia) to New Caledonia.","In clear lagoons with deep sand slopes, forming schools above remote rock or coral outcrops to 30 m depth. Marine; demersal; depth range 8 - 45 m. Tropical",Not Available,"Bray, D.J. 2022, Ostorhinchus jenkinsi in Fishes of Australia, accessed 20 Jun 2024, https://fishesofaustralia.net.au/home/species/4103 https://fishbase.mnhn.fr/summary/Ostorhinchus-jenkinsi.html",https://fishbase.mnhn.fr/photos/PicturesSummary.php?resultPage=1&ID=24339&what=species
Ostorhinchus margaritophorus,Not Available,Red-striped Cardinalfish,Apogonidae,Native,Least Concern (LC),GBGCA6252-15 - Ostorhinchus margaritophorus [COI-5P:1548],. Dorsal spines (total): 8; Dorsal soft rays (total): 9; Anal spines: 2; Anal soft rays: 8.,"The species can be identified by the parallel arrangement of pale stripes along the flanks, on a yellowish-brown to reddish background. The thinner stripes are broken into unequal dashes, and the thicker stripes into a chequered pattern. The underside of the head and front of the belly are generally white",Up to 6.5 cm,"Mouthbrooders. Distinct pairing during courtship and spawning. In small groups, usually sheltering near long-spined urchins or large anemones in seagrasses","Western Pacific: Indonesia to Philippines, Papua New Guinea to Solomon Islands.","Found in shallow coral reefs around lagoons and sheltered bays. Marine; reef-associated; depth range 1 - 5 m. Tropical; 20°N - 28°S, 94°E - 168°E",Not Available,https://fishbase.mnhn.fr/summary/Ostorhinchus-margaritophorus.html  https://www.ecologyasia.com/verts/fishes/chequered-cardinalfish.htm,https://fishbase.mnhn.fr/photos/PicturesSummary.php?resultPage=2&ID=58156&what=species
Ostorhinchus moluccensis,Not Available,Moluccan Cardinalfish,Apogonidae,Native,Least Concern (LC),GBGCA6253-15 - Ostorhinchus moluccensis [COI-5P:1548],Dorsal spines (total): 8; Dorsal soft rays (total): 9; Anal spines: 2; Anal soft rays: 8; Vertebrae: 24.,"Distinguished from other species of Apogon in the subgenus Ostorhinchus with 21-25 rudiments + gill rakers, 14-17 lower arch developed gill rakers; the roof of the mouth and portions of gill arches pale; a whitish spot behind the posterior base of the second dorsal fin. ",Up to 9.0 cm,"Mouthbrooders. Distinct pairing during courtship and spawning. Usually seen in pairs or schooling, comprising numerous pairs when adult. Nocturnal. ","Indo-West Pacific: Andaman Islands, Indonesia, Papua New Guinea north to Taiwan, east to Solomon Islands.","Usually in silty habitat on mud slopes, in lagoons, and sheltered reefs. Marine; reef-associated; depth range 3 - 30 m. Tropical","At night, this species lacks the stripes along the side.
In Australia, this species has long been confused with Ostorhinchus moluccensis, which occurs in Indonesia, the Philippines, Papua New Guinea, and the Solomon Islands.","Bray, D.J. 2020, Ostorhinchus monospilus in Fishes of Australia, accessed 20 Jun 2024, https://fishesofaustralia.net.au/home/species/3482
https://fishbase.mnhn.fr/summary/Ostorhinchus-moluccensis.html",https://commons.wikimedia.org/wiki/File:Moluccan_cardinalfish_%28Ostorhinchus_moluccensis%29_%2839849184765%29.jpg
